nama_varietas,komoditas,jenis_tanaman,pemohon,pemohon_kanonik,asal,tahun,jenis_perizinan,no_sk,tgl_sk
Batu Kumbung,Tanaman Buah,Manggis,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,06/PVL/2012,
Tarmin,Tanaman Buah,Durian,Pemerintah Kabupaten Jepara,Pemerintah Kabupaten Jepara,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,07/PVL/2012,
Maga,Tanaman Buah,Jeruk,Pemerintah Kabupaten Mandailing Natal,Pemerintah Kabupaten Mandailing Natal,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,08/PVL/2012,
Hiyung,Tanaman Sayuran,Cabai Rawit,Pemerintah Kabupaten Tapin,Pemerintah Kabupaten Tapin,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,09/PVL/2012,
Semerap,Tanaman Buah,Manggis,Pemerintah Kabupaten Kerinci,Pemerintah Kabupaten Kerinci,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,10/PVL/2012,
Balangan,Tanaman Buah,Cempedak,Pemerintah Kabupaten Balangan,Pemerintah Kabupaten Balangan,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,11/PVL/2012,
Simalungun,Tanaman Buah,Nenas,Pemerintah Kabupaten Simalungun,Pemerintah Kabupaten Simalungun,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,12/PVL/2012,
Idaman,Tanaman Buah,Manggis,Pemerintah Kota Binjai,Pemerintah Kota Binjai,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,13/PVL/2012,
Emprit bandar arum,Tanaman Flori,Melati,Pemerintah Kabupaten Batang,Pemerintah Kabupaten Batang,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,15/PVL/2012,
Vitmaka,Tanaman Sayuran,Wortel,Pemerintah Kabupaten Karanganyar,Pemerintah Kabupaten Karanganyar,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,16/PVL/2012,
Gisting,Tanaman Buah,Pepaya,Pemerintah Kabupaten Tanggamus,Pemerintah Kabupaten Tanggamus,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,17/PVL/2012,
Betara,Tanaman Perkebunan,Pinang,Pemerintah Kabupaten Tanjung Jabung Barat,Pemerintah Kabupaten Tanjung Jabung Barat,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,18/PVL/2012,
Siarang,Tanaman Pangan,Padi,Pemerintah Kabupaten Solok,Pemerintah Kabupaten Solok,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,19/PVL/2012,
Mulieng Gajah,Tanaman Sayuran,Melinjo,Pemerintah Kabupaten Pidie,Pemerintah Kabupaten Pidie,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,20/PVL/2012,
Deli hijau,Tanaman Buah,Jambu Air,Pemerintah Kota Binjai,Pemerintah Kota Binjai,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,21/PVL/2012,
Kesuma merah,Tanaman Buah,Jambu Air,Pemerintah Kota Binjai,Pemerintah Kota Binjai,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,22/PVL/2012,
Martatav,Tanaman Sayuran,Tomat,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,01/PVHP/2012,
Metavy,Tanaman Sayuran,Mentimun,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,02/PVHP/2012,
GMP 4,Tanaman Perkebunan,Tebu,PT Gunung Madu Plantations,PT Gunung Madu Plantations,Dalam Negeri,2012,Pelepasan Varietas Tanaman,576/Kpts/SR.120/2/2012,
GMP 3,Tanaman Perkebunan,Tebu,PT Gunung Madu Plantations,PT Gunung Madu Plantations,Dalam Negeri,2012,Pelepasan Varietas Tanaman,575/Kpts/SR.120/2/2012,
Pak Tiwi 2,Tanaman Pangan,Padi Inbrida,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,,2012,Pelepasan Varietas Tanaman,2435/Kpts/SR.120/7/2012 03 Juli 2012,
Pak Tiwi 1,Tanaman Pangan,Padi Inbrida,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,,2012,Pelepasan Varietas Tanaman,2434/Kpts/SR.120/7/2012 03 Juli 2012,
Inpara IPB Kapuas 7R,Tanaman Pangan,Padi Inbrida,"konsorsium Padi nasional, IPB dan Pemerintah Kabupaten Kapuas, Kalimantan Tengah","konsorsium Padi nasional, IPB dan Pemerintah Kabupaten Kapuas, Kalimantan Tengah",,2012,Pelepasan Varietas Tanaman,2426/Kpts/SR.120/7/2012 03 Juli 2012,
Kholil,Tanaman Buah,Durian,,,,2012,Pelepasan Varietas Tanaman,877/kpts/SR.120/3/2012,
Gulegaet,Tanaman Buah,Durian,,,,2012,Pelepasan Varietas Tanaman,879/kpts/SR.120/3/2012,
Amara,Tanaman Buah,Semangka,,,,2012,Pelepasan Varietas Tanaman,1603/Kpts/SR.120/5/2012,
DxP SEU'S Supreme,Tanaman Perkebunan,Kelapa Sawit,PTSasaran Ehsan Mekarsari,PTSasaran Ehsan Mekarsari,Dalam Negeri,2012,Pelepasan Varietas Tanaman,578/Kpts/SR.120/2/2012,
Adonara,Tanaman Perkebunan,Kelapa,Pemerintah kabupaten Flores Timur,Pemerintah Kabupaten Flores Timur,Dalam Negeri,2012,Pelepasan Varietas Tanaman,583/Kpts/SR.120/2/2012,
Molat,Tanaman Perkebunan,Sagu,Pemerintah Provinsi Maluku - Masyarakat Maluku ,Pemerintah Provinsi Maluku - Masyarakat Maluku ,Dalam Negeri,2012,Pelepasan Varietas Tanaman,580/Kpts/SR.120/2/2012,
Populasi Muna,Tanaman Perkebunan,Jambu Mete,Pemerintah Kabupaten Muna,Pemerintah Kabupaten Muna,Dalam Negeri,2012,Pelepasan Varietas Tanaman,579/Kpts/SR.120/2/2012,
VMC 86-550,Tanaman Perkebunan,Tebu,PTPN XI,PTPN XI,Dalam Negeri,2012,Pelepasan Varietas Tanaman,2794/Kpts/SR.120/8/2012,
PSJK 922,Tanaman Perkebunan,Tebu,"Pusat Penelitian Perkebunan Gula Indonesia (P3GI) Pasuruan, PTPN X","Pusat Penelitian Perkebunan Gula Indonesia (P3GI) Pasuruan, PTPN X",Dalam Negeri,2012,Pelepasan Varietas Tanaman,3420/Kpts/SR.120/10/2012,
Maesan 1,Tanaman Perkebunan,Tembakau,Kepala dinas kehutanan dan perkebunan kabupaten Bondowoso,Kepala dinas kehutanan dan perkebunan kabupaten Bondowoso,Dalam Negeri,2012,Pelepasan Varietas Tanaman,584/Kpts/SR.120/2/2012,
Maesan 2,Tanaman Perkebunan,Tembakau,Kepala dinas kehutanan dan perkebunan kabupaten Bondowoso,Kepala dinas kehutanan dan perkebunan kabupaten Bondowoso,Dalam Negeri,2012,Pelepasan Varietas Tanaman,585/Kpts/SR.120/2/2012,
Paiton 1,Tanaman Perkebunan,Tembakau,Kepala dinas kehutanan dan perkebunan kabupaten Probolinggo,Kepala dinas kehutanan dan perkebunan kabupaten Probolinggo,Dalam Negeri,2012,Pelepasan Varietas Tanaman,586/Kpts/SR.120/2/2012,
Paiton 2,Tanaman Perkebunan,Tembakau,Kepala dinas kehutanan dan perkebunan kabupaten Probolinggo,Kepala dinas kehutanan dan perkebunan kabupaten Probolinggo,Dalam Negeri,2012,Pelepasan Varietas Tanaman,587/Kpts/SR.120/2/2012,
Verina 1,Tanaman Perkebunan,Akarwangi,Balai Penelitian Tanaman Obat dan Aromatik,Balai Penelitian Tanaman Obat dan Aromatik,Dalam Negeri,2012,Pelepasan Varietas Tanaman,581//Kpts/SR.120/2/2012,
Verina 2,Tanaman Perkebunan,Akarwangi,Balai Penelitian Tanaman Obat dan Aromatik,Balai Penelitian Tanaman Obat dan Aromatik,Dalam Negeri,2012,Pelepasan Varietas Tanaman,582//Kpts/SR.120/2/2012,
Winas 1,Tanaman Perkebunan,Wijen,Balai Penelitian Tanaman Pemanis dan Serat,Balai Penelitian Tanaman Pemanis dan Serat,Dalam Negeri,2012,Pelepasan Varietas Tanaman,2796/Kpts/SR.120/8/2012,
Winas 2,Tanaman Perkebunan,Wijen,Balai Penelitian Tanaman Pemanis dan Serat,Balai Penelitian Tanaman Pemanis dan Serat,Dalam Negeri,2012,Pelepasan Varietas Tanaman,2797/Kpts/SR.120/8/2012,
Klon sulawesi 3,Tanaman Perkebunan,Kakao,Pemerintah prov. Sulawesi selatan,Pemerintah prov. Sulawesi selatan,Dalam Negeri,2012,Pelepasan Varietas Tanaman,2795/Kpts/SR.120/8/2012,
ICCRI 07,Tanaman Perkebunan,Kakao,Pusat Penelitian Kopi dan Kakao Indonesia,Pusat Penelitian Kopi dan Kakao Indonesia,Dalam Negeri,2012,Pelepasan Varietas Tanaman,2733/Kpts/SR.120/08/2012,
ICCRI 07,Tanaman Perkebunan,Kakao,Pusat Penelitian Kopi dan Kakao Indonesia,Pusat Penelitian Kopi dan Kakao Indonesia,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00381/PPVT/T/2017,
Lestari 3,Tanaman Pangan,Padi Hibrida,PT Multiagro Pangan Lestari,PT Multiagro Pangan Lestari,,2012,Pelepasan Varietas Tanaman,1104/Kpts/SR.120/3/2012 28 Maret 2012,
Lestari 5,Tanaman Pangan,Padi Hibrida,PT Multiagro Pangan Lestari,PT Multiagro Pangan Lestari,,2012,Pelepasan Varietas Tanaman,1105/Kpts/SR.120/3/2012 28 Maret 2012,
Lestari 6,Tanaman Pangan,Padi Hibrida,PT Multiagro Pangan Lestari,PT Multiagro Pangan Lestari,,2012,Pelepasan Varietas Tanaman,1106/Kpts/SR.120/3/2012 28 Maret 2012,
Pramitha,Tanaman Pangan,Padi Hibrida,PT Nusantara Surya Benih,PT Nusantara Surya Benih,,2012,Pelepasan Varietas Tanaman,2415/Kpts/SR.120/7/2012 03 Juli 2012,
Chandataran Rendaha,Tanaman Pangan,Padi Hibrida,PT Nusantara Surya Benih,PT Nusantara Surya Benih,,2012,Pelepasan Varietas Tanaman,2421/Kpts/SR.120/7/2012 03 Juli 2012,
BS 99 SHS,Tanaman Pangan,Padi Hibrida,"Boshima Seed Co., dan PT SHS","Boshima Seed Co., dan PT SHS",,2012,Pelepasan Varietas Tanaman,2422/Kpts/SR.120/7/2012 03 Juli 2012,
BS 88 SHS,Tanaman Pangan,Padi Hibrida,"Boshima Seed Co., dan PT SHS","Boshima Seed Co., dan PT SHS",,2012,Pelepasan Varietas Tanaman,2425/Kpts/SR.120/7/2012 03 Juli 2012,
DG 5 SHS,Tanaman Pangan,Padi Hibrida,"Devgen, NV dan PT SHS (Persero)","Devgen, NV dan PT SHS (Persero)",,2012,Pelepasan Varietas Tanaman,2440/Kpts/SR.120/7/2012 03 Juli 2012,
HS 06-5AML,Tanaman Pangan,Padi Hibrida,PT Hubei Seed Provincial  Group Co.Ltd,PT Hubei Seed Provincial  Group Co.Ltd,,2012,Pelepasan Varietas Tanaman,2415/Kpts/SR.120/7/2012 03 Juli 2012,
PP3,Tanaman Pangan,Padi Hibrida,"PT Agri Makmur Lestari 
PT DuPont Indonesia","PT Agri Makmur Lestari 
PT DuPont Indonesia",,2012,Pelepasan Varietas Tanaman,2415/Kpts/SR.120/7/2012 03 Juli 2012,
Cekau Pelalawan,Tanaman Pangan,Padi Inbrida,"Pemerintah Kabupaten Pelalawan, Diperta TP kab. Pelalawan, BPTP dan BPSB Provinsi Riau","Pemerintah Kabupaten Pelalawan, Diperta TP kab. Pelalawan, BPTP dan BPSB Provinsi Riau",,2012,Pelepasan Varietas Tanaman,1109/Kpts/SR.120/3/2012 28 Maret 2012,
Karya Pelalawan,Tanaman Pangan,Padi Inbrida,"Pemerintah Kabupaten Pelalawan, Diperta TP kab. Pelalawan, BPTP dan BPSB Provinsi Riau","Pemerintah Kabupaten Pelalawan, Diperta TP kab. Pelalawan, BPTP dan BPSB Provinsi Riau",,2012,Pelepasan Varietas Tanaman,1110/Kpts/SR.120/3/2012 28 Maret 2012,
Inpari 21 Batipuah,Tanaman Pangan,Padi Inbrida,BB. Padi dan BPTP Sumatera Barat,BB. Padi dan BPTP Sumatera Barat,,2012,Pelepasan Varietas Tanaman,1111/Kpts/SR.120/3/2012 28 Maret 2012,
IPB 3S,Tanaman Pangan,Padi Inbrida,IPB,IPB,,2012,Pelepasan Varietas Tanaman,1112/Kpts/SR.120/3/2012 28 Maret 2012,
IPB 4S,Tanaman Pangan,Padi Inbrida,IPB,IPB,,2012,Pelepasan Varietas Tanaman,1113/Kpts/SR.120/3/2012 28 Maret 2012,
IPB BAToleranA 5R,Tanaman Pangan,Padi Inbrida,"IPB dan Pemerintah Kabupaten Barito Kuala, Kalsel","IPB dan Pemerintah Kabupaten Barito Kuala, Kalsel",,2012,Pelepasan Varietas Tanaman,1114/Kpts/SR.120/3/2012 28 Maret 2012,
IPB BAToleranA 6R,Tanaman Pangan,Padi Inbrida,"IPB dan Pemerintah Kabupaten Barito Kuala, Kalsel","IPB dan Pemerintah Kabupaten Barito Kuala, Kalsel",,2012,Pelepasan Varietas Tanaman,1115/Kpts/SR.120/3/2012 28 Maret 2012,
Inpara 7,Tanaman Pangan,Padi Inbrida,BB Padi,BB Padi,,2012,Pelepasan Varietas Tanaman,2287.1/Kpts/SR.120/6/2012 27 Juni 2012,
Inpago 9,Tanaman Pangan,Padi Inbrida,BB padi,BB Padi,,2012,Pelepasan Varietas Tanaman,2288.1/Kpts/SR.120/6/2012 27 Juni 2012,
Inpari 27,Tanaman Pangan,Padi Inbrida,BB padi,BB Padi,,2012,Pelepasan Varietas Tanaman,2289.1/Kpts/SR.120/6/2012 27 Juni 2012,
Inpari 28 Kerinci,Tanaman Pangan,Padi Inbrida,BB Padi,BB Padi,,2012,Pelepasan Varietas Tanaman,2290.1/Kpts/SR.120/6/2012 27 Juni 2012,
Inpari 29 Rendaman,Tanaman Pangan,Padi Inbrida,BB Padi,BB Padi,,2012,Pelepasan Varietas Tanaman,2291.1/Kpts/SR.120/6/2012 27 Juni 2012,
Inpari 30 Ciherang Sub 1,Tanaman Pangan,Padi Inbrida,BB Padi,BB Padi,,2012,Pelepasan Varietas Tanaman,2292.1/Kpts/SR.120/6/2012 27 Juni 2012,
Inpari 26,Tanaman Pangan,Padi Inbrida,BB Padi,BB Padi,,2012,Pelepasan Varietas Tanaman,2293.1/Kpts/SR.120/6/2012 27 Juni 2012,
Inpari 24 Gabusan,Tanaman Pangan,Padi Inbrida,"BB Padi dan Pemerintah Kabupaten Bantul, DIY","BB Padi dan Pemerintah Kabupaten Bantul, DIY",,2012,Pelepasan Varietas Tanaman,2416/Kpts/SR.120/7/2012 03 Juli 2012,
Inpari 23 Bantul,Tanaman Pangan,Padi Inbrida,"BB Padi dan Pemerintah Kabupaten Bantul, DIY","BB Padi dan Pemerintah Kabupaten Bantul, DIY",,2012,Pelepasan Varietas Tanaman,2417/Kpts/SR.120/7/2012 03 Juli 2012,
Inpari 22,Tanaman Pangan,Padi Inbrida,BB Padi,BB Padi,,2012,Pelepasan Varietas Tanaman,2418/Kpts/SR.120/7/2012 03 Juli 2012,
Inpari Mugibat,Tanaman Pangan,Padi Inbrida,BB Padi,BB Padi,,2012,Pelepasan Varietas Tanaman,2419/Kpts/SR.120/7/2012 03 Juli 2012,
Inpago LIPI Go2,Tanaman Pangan,Padi Inbrida,"Pusat Penelitian Bioteknologi, LIPI","Pusat Penelitian Bioteknologi, LIPI",,2012,Pelepasan Varietas Tanaman,2423/Kpts/SR.120/7/2012 03 Juli 2012,
Inpago LIPI Go1,Tanaman Pangan,Padi Inbrida,"Pusat Penelitian Bioteknologi, LIPI","Pusat Penelitian Bioteknologi, LIPI",,2012,Pelepasan Varietas Tanaman,2428/Kpts/SR.120/7/2012 03 Juli 2012,
Suluttan UNSRAT 2,Tanaman Pangan,Padi Inbrida,"BATAN, U. Samratulangi, Dipertanak Prov. Sulawesi Utara","BATAN, U. Samratulangi, Dipertanak Prov. Sulawesi Utara",,2012,Pelepasan Varietas Tanaman,2438/Kpts/SR.120/7/2012 03 Juli 2012,
Suluttan UNSRAT 1,Tanaman Pangan,Padi Inbrida,"BATAN, U. Samratulangi, Dipertanak Prov. Sulawesi Utara","BATAN, U. Samratulangi, Dipertanak Prov. Sulawesi Utara",,2012,Pelepasan Varietas Tanaman,2436/Kpts/SR.120/7/2012 03 Juli 2012,
Trisonna,Tanaman Sayuran,Kacang Panjang,PT Parisonna Alam Sejahtera,PT Parisonna Alam Sejahtera,,2012,Pelepasan Varietas Tanaman,3180/Kpts/SR.120/9/2012,
Tagoya 789,Tanaman Sayuran,Jagung Manis,PT Parisonna Alam Sejahtera,PT Parisonna Alam Sejahtera,,2012,Pelepasan Varietas Tanaman,3179/Kpts/SR.120/9/2012,
Tagoya 457,Tanaman Sayuran,Jagung Manis,PT Parisonna Alam Sejahtera,PT Parisonna Alam Sejahtera,,2012,Pelepasan Varietas Tanaman,3178/Kpts/SR.120/9/2012,
Batara 4,Tanaman Buah,Semangka,PT Batara Seed,PT Batara Seed,,2012,Pelepasan Varietas Tanaman,3175/Kpts/SR.120/9/2012,
Batara 3,Tanaman Buah,Semangka,PT Batara Seed,PT Batara Seed,,2012,Pelepasan Varietas Tanaman,3174/Kpts/SR.120/9/2012,
AGB KE 2646,Tanaman Sayuran,Mentimun,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,,2012,Pelepasan Varietas Tanaman,3172/Kpts/SR.120/9/2012,
AGB KE 1963,Tanaman Sayuran,Mentimun,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,,2012,Pelepasan Varietas Tanaman,3171/Kpts/SR.120/9/2012,
AGB CK 0309,Tanaman Sayuran,Cabai Keriting,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,,2012,Pelepasan Varietas Tanaman,3170/Kpts/SR.120/9/2012,
AGB CK 0109,Tanaman Sayuran,Cabai Keriting,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,,2012,Pelepasan Varietas Tanaman,3169/Kpts/SR.120/9/2012,
BSQ 035,Tanaman Sayuran,Waluh/Squash,"PT BISI International, Tbk","PT BISI International, Tbk",,2012,Pelepasan Varietas Tanaman,2775/Kpts/SR.120/8/2012,
Kulo,Tanaman Flori,Krisan/Seruni,Dinas Pertanian Peternakan dan Perikanan Pemerinta,Dinas Pertanian Peternakan dan Perikanan Pemerinta,,2012,Pelepasan Varietas Tanaman,2776/Kpts/SR.120/8/2012,
MB 333,Tanaman Sayuran,Cabai Keriting,PT Prabu Agro Mandiri,PT Prabu Agro Mandiri,Dalam Negeri,2012,Pelepasan Varietas Tanaman,2779/Kpts/SR.120/8/2012,
MB 333,Tanaman Sayuran,Cabai Keriting,PT Prabu Agro Mandiri,PT Prabu Agro Mandiri,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,08/PVHP/2012,
Ririh,Tanaman Flori,Krisan/Seruni,Dinas Pertanian Peternakan dan Perikanan Pemerinta,Dinas Pertanian Peternakan dan Perikanan Pemerinta,,2012,Pelepasan Varietas Tanaman,2777/Kpts/SR.120/8/2012,
Dimas,Tanaman Sayuran,Cabai Besar,PT Prabu Agro Mandiri,PT Prabu Agro Mandiri,Dalam Negeri,2012,Pelepasan Varietas Tanaman,2778/Kpts/SR.120/8/2012,
Purbaya,Tanaman Sayuran,Mentimun,PT Prabu Agro Mandiri,PT Prabu Agro Mandiri,Dalam Negeri,2012,Pelepasan Varietas Tanaman,2780/Kpts/SR.120/8/2012,
Purbaya,Tanaman Sayuran,Mentimun,PT Prabu Agro Mandiri,PT Prabu Agro Mandiri,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,09/PVHP/2012,
Panjalu,Tanaman Sayuran,Terong,PT Prabu Agro Mandiri,PT Prabu Agro Mandiri,Dalam Negeri,2012,Pelepasan Varietas Tanaman,2781/Kpts/SR.120/8/2012,
Panjalu,Tanaman Sayuran,Terong,PT Prabu Agro Mandiri,PT Prabu Agro Mandiri,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,07/PVHP/2012,
Ganebo,Tanaman Sayuran,Jagung Manis,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,,2012,Pelepasan Varietas Tanaman,1934/Kpts/SR.120/5/2012,
RGL,Tanaman Buah,Jeruk Keprok,Dinas Pertanian dan Ketahanan Pangan Kabupaten Lebong,Dinas Pertanian dan Ketahanan Pangan Kabupaten Lebong,,2012,Pelepasan Varietas Tanaman,2280/Kpts/SR.120/5/2012,
Magenta,Tanaman Sayuran,Jagung Manis,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,,2012,Pelepasan Varietas Tanaman,1932/Kpts/SR.120/5/2012,
MD 02,Tanaman Sayuran,Bayam,CV Buana Agro Lumlum,CV Buana Agro Lumlum,,2012,Pelepasan Varietas Tanaman,2773/Kpts/SR.120/8/2012,
MD 03,Tanaman Sayuran,Bayam,CV Buana Agro Lumlum,CV Buana Agro Lumlum,,2012,Pelepasan Varietas Tanaman,2774/Kpts/SR.120/8/2012,
Puteri,Tanaman Sayuran,Cabai Keriting,,,,2012,Pelepasan Varietas Tanaman,1606/Kpts/SR.120/5/2012,
Metavy,Tanaman Sayuran,Mentimun,,,,2012,Pelepasan Varietas Tanaman,1602/Kpts/SR.120/5/2012,
Martatav,Tanaman Sayuran,Tomat,,,,2012,Pelepasan Varietas Tanaman,1604/Kpts/SR.120/5/2012,
Nobel,Tanaman Buah,Melon,,,,2012,Pelepasan Varietas Tanaman,881/kpts/SR.120/3/2012,
AGB BU 1606,Tanaman Sayuran,Kacang Buncis,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,Dalam Negeri,2012,Pelepasan Varietas Tanaman,6639/Kpts/SR.120/12/2012,
AGB CB 0104,Tanaman Sayuran,Cabai Besar,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,Dalam Negeri,2012,Pelepasan Varietas Tanaman,6640/Kpts/SR.120/12/2012,
AGB OY 1030,Tanaman Sayuran,Oyong / Gambas,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,Dalam Negeri,2012,Pelepasan Varietas Tanaman,6641/Kpts/SR.120/12/2012,
Selebriti,Tanaman Buah,Melon,,,,2012,Pelepasan Varietas Tanaman,880/kpts/SR.120/3/2012,
AGB OY 2330,Tanaman Sayuran,Oyong / Gambas,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,Dalam Negeri,2012,Pelepasan Varietas Tanaman,6642/Kpts/SR.120/12/2012,
Marco SP,Tanaman Sayuran,Cabai Keriting,PT Clause Indonesia,PT Clause Indonesia,Introduksi,2012,Pelepasan Varietas Tanaman,6643/Kpts/SR.120/12/2012,
Bisoma,Tanaman Sayuran,Kubis,PT Clause Indonesia,PT Clause Indonesia,Introduksi,2012,Pelepasan Varietas Tanaman,6644/Kpts/SR.120/12/2012,
Sumgreen,Tanaman Sayuran,Kubis,PT Clause Indonesia,PT Clause Indonesia,Introduksi,2012,Pelepasan Varietas Tanaman,6645/Kpts/SR.120/12/2012,
Lazio,Tanaman Sayuran,Brokoli,PT Hextar Seed Indonesia,PT Hextar Seed Indonesia,Introduksi,2012,Pelepasan Varietas Tanaman,6647/Kpts/SR.120/12/2012,
Anggi,Tanaman Sayuran,Cabai Besar,PT Hextar Seed Indonesia,PT Hextar Seed Indonesia,Introduksi,2012,Pelepasan Varietas Tanaman,6646/Kpts/SR.120/12/2012,
Batu Kumbung,Tanaman Buah,Manggis,,,,2012,Pelepasan Varietas Tanaman,878/kpts/SR.120/3/2012,
Kanjeng,Tanaman Buah,Durian,Pemerintah Kabupaten Ponorogo,Pemerintah Kabupaten Ponorogo,,2012,Pelepasan Varietas Tanaman,3184/Kpts/SR.120/9/2012,
AGB BU 309,Tanaman Sayuran,Kacang Buncis,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,Dalam Negeri,2012,Pelepasan Varietas Tanaman,6638/Kpts/SR.120/12/2012,
Red Kriss,Tanaman Sayuran,Cabai Keriting,PT Takii Indonesia,PT Takii Indonesia,Dalam Negeri,2012,Pelepasan Varietas Tanaman,6032/Kpts/SR.120/12/2012,
Kinasih,Tanaman Buah,Melon,PT Tunas Agro Persada,PT Tunas Agro Persada,,2012,Pelepasan Varietas Tanaman,6031/Kpts/SR.120/12/2012,
Legita,Tanaman Buah,Melon,PT Tunas Agro Persada,PT Tunas Agro Persada,,2012,Pelepasan Varietas Tanaman,6029/Kpts/SR.120/12/2012,
Emprit Bandar Arum,Tanaman Flori,Melati,Dinas Pertanian dan Peternakan Kabupaten Batang,Dinas Pertanian dan Peternakan Kabupaten Batang,,2012,Pelepasan Varietas Tanaman,6036/Kpts/SR.120/12/2012,
Grobogan,Tanaman Sayuran,Terong,Dinas Pertanian Kabupaten Grobogan,Dinas Pertanian Kabupaten Grobogan,Dalam Negeri,2012,Pelepasan Varietas Tanaman,6037/Kpts/SR.120/12/2012,
TI 78G,Tanaman Sayuran,Kubis,PT Takii Indonesia,PT Takii Indonesia,Introduksi,2012,Pelepasan Varietas Tanaman,6033/Kpts/SR.120/12/2012,
JK 107,Tanaman Sayuran,Kacang Panjang,"UD Plasa Benih Indonesia, Kediri","UD Plasa Benih Indonesia, Kediri",Dalam Negeri,2012,Pelepasan Varietas Tanaman,6035/Kpts/SR.120/12/2012,
JK 018,Tanaman Sayuran,Kacang Panjang,"UD Plasa Benih Indonesia, Kediri","UD Plasa Benih Indonesia, Kediri",Dalam Negeri,2012,Pelepasan Varietas Tanaman,6034/Kpts/SR.120/12/2012,
Gumumae,Tanaman Buah,Durian,Pemerintah Kabupaten Seram Bagian Timur,Pemerintah Kabupaten Seram Bagian Timur,,2012,Pelepasan Varietas Tanaman,6030/Kpts/SR.120/12/2012,
TO ASA 031,Tanaman Sayuran,Tomat,PT Aditya Sentana Agro,PT Aditya Sentana Agro,Dalam Negeri,2012,Pelepasan Varietas Tanaman,3444/Kpts/SR.120/10/2012,
Platini,Tanaman Buah,Semangka,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,,2012,Pelepasan Varietas Tanaman,3443/Kpts/SR.120/10/2012,
Lotan,Tanaman Buah,Manggis,Dinas Pertanian Tanaman Pangan dan Hortikultura Ka,Dinas Pertanian Tanaman Pangan dan Hortikultura Ka,,2012,Pelepasan Varietas Tanaman,3445/Kpts/SR.120/10/2012,
Kusuma,Tanaman Sayuran,Labu,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pelepasan Varietas Tanaman,3448/Kpts/SR.120/10/2012,
Parade Tavi,Tanaman Sayuran,Kacang Panjang,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pelepasan Varietas Tanaman,3447/Kpts/SR.120/10/2012,
Parade Tavi,Tanaman Sayuran,Kacang Panjang,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,57/PVHP/2012,
Parade Tavi,Tanaman Sayuran,Kacang Panjang,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00185/PPVT/S/2012,
Kanton Tavi,Tanaman Sayuran,Kacang Panjang,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pelepasan Varietas Tanaman,3446/Kpts/SR.120/10/2012,
Kanton Tavi,Tanaman Sayuran,Kacang Panjang,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,56/PVHP/2012,
